,school_name,level_of_schooling,school_gender,suburb,latitude,longitude
263,Coramba Public School,Primary School,Coed,Coramba ,-30.2216,153.0115
264,Corindi Public School,Primary School,Coed,Corindi Beach ,-30.0215,153.1942
265,Corndale Public School,Primary School,Coed,Corndale ,-28.7132,153.3625
266,Corowa Public School,Primary School,Coed,Corowa ,-35.9925,146.3949
267,Corowa South Public School,Primary School,Coed,Corowa ,-36.021,146.3762
268,Corrimal Public School,Primary School,Coed,Corrimal,-34.3674,150.899
269,Coutts Crossing Public School,Primary School,Coed,Coutts Crossing ,-29.8321,152.8895
270,Cowan Public School,Primary School,Coed,Cowan ,-33.5888,151.1688
271,Cowper Public School,Primary School,Coed,Cowper ,-29.5696,153.0777
272,Cowra Public School,Primary School,Coed,Cowra ,-33.836,148.6899
273,Crabbes Creek Public School,Primary School,Coed,Crabbes Creek ,-28.456,153.4966
274,Crescent Head Public School,Primary School,Coed,Crescent Head ,-31.1881,152.9704
275,Cronulla Public School,Primary School,Coed,Cronulla ,-34.0541,151.1477
276,Crookwell Public School,Primary School,Coed,Crookwell ,-34.4599,149.4698
277,Crossmaglen Public School,Primary School,Coed,Crossmaglen,-30.3659,152.9816
278,Buronga Public School,Primary School,Coed,Buronga ,-34.1695,142.1813
279,Crystal Creek Public School,Primary School,Coed,Crystal Creek,-28.3121,153.326
280,Cudal Public School,Primary School,Coed,Cudal ,-33.2871,148.7403
281,Cudgen Public School,Primary School,Coed,Cudgen ,-28.2626,153.5554
282,Culcairn Public School,Primary School,Coed,Culcairn ,-35.6683,147.04
283,Cullen Bullen Public School,Primary School,Coed,Cullen Bullen ,-33.2999,150.0323
284,Cumnock Public School,Primary School,Coed,Cumnock,-32.9313,148.7495
285,Cundletown Public School,Primary School,Coed,Cundletown ,-31.8997,152.522
286,Curlewis Public School,Primary School,Coed,Curlewis ,-31.1171,150.2633
287,Currabubula Public School,Primary School,Coed,Currabubula ,-31.2628,150.7357
288,Dalgety Public School,Primary School,Coed,Dalgety,-36.5027,148.8367
289,Dalton Public School,Primary School,Coed,Dalton ,-34.7204,149.1788
290,Dapto Public School,Primary School,Coed,Horsley,-34.4961,150.797
291,Dareton Public School,Primary School,Coed,Dareton ,-34.0911,142.0404
292,Darlington Public School,Primary School,Coed,Chippendale ,-33.8926,151.1894
293,Darlington Point Public School,Primary School,Coed,Darlington Point ,-34.5728,145.9939
294,Leeville Public School,Primary School,Coed,Leeville ,-28.9308,153.0035
295,Deepwater Public School,Primary School,Coed,Deepwater ,-29.4429,151.8481
296,Dee Why Public School,Primary School,Coed,Dee Why ,-33.749,151.2852
297,Delegate Public School,Primary School,Coed,Delegate ,-37.0417,148.9372
298,Delungra Public School,Primary School,Coed,Delungra ,-29.6509,150.831
299,Denman Public School,Primary School,Coed,Denman ,-32.3857,150.686
300,Doonside Public School,Primary School,Coed,Doonside,-33.7646,150.8705
301,Dora Creek Public School,Primary School,Coed,Dora Creek ,-33.079,151.4992
302,Double Bay Public School,Primary School,Coed,Double Bay ,-33.8749,151.2409
303,Doubtful Creek Public School,Primary School,Coed,Doubtful Creek,-28.7248,152.876
304,Douglas Park Public School,Primary School,Coed,Douglas Park ,-34.1795,150.713
305,Drake Public School,Primary School,Coed,Drake,-28.9288,152.3741
306,Drummoyne Public School,Primary School,Coed,Drummoyne ,-33.8561,151.153
307,Dubbo Public School,Primary School,Coed,Dubbo ,-32.2487,148.6054
308,Dubbo North Public School,Primary School,Coed,Dubbo ,-32.2417,148.6158
309,Dudley Public School,Primary School,Coed,Dudley ,-32.9894,151.7168
310,Lismore Public School,Primary School,Coed,Lismore ,-28.8143,153.2909
311,Dundurrabin Public School,Primary School,Coed,Dundurrabin,-30.1895,152.5426
312,Dunedoo Central School,Central/Community School,Coed,Dunedoo ,-32.0183,149.3922
313,Dungog Public School,Primary School,Coed,Dungog ,-32.4052,151.7577
314,Dungowan Public School,Primary School,Coed,Dungowan,-31.2201,151.1327
315,Dunoon Public School,Primary School,Coed,Dunoon ,-28.6867,153.3155
316,Dural Public School,Primary School,Coed,Dural ,-33.6861,151.0264
317,Duranbah Public School,Primary School,Coed,Duranbah ,-28.2891,153.5169
318,Duri Public School,Primary School,Coed,Duri ,-31.2214,150.8299
319,Durrumbul Public School,Primary School,Coed,Durrumbul ,-28.5233,153.4446
320,Earlwood Public School,Primary School,Coed,Earlwood ,-33.929,151.1224
321,Eastern Creek Public School,Primary School,Coed,Eastern Creek,-33.787,150.8526
322,Panania Public School,Primary School,Coed,Panania,-33.966,150.9995
323,Dubbo South Public School,Primary School,Coed,Dubbo ,-32.2631,148.6098
324,Ebenezer Public School,Primary School,Coed,Ebenezer ,-33.5309,150.8768
325,Ebor Public School,Primary School,Coed,Ebor ,-30.4033,152.3499
326,Eden Public School,Primary School,Coed,Eden ,-37.0633,149.9067
327,Congewai Public School,Primary School,Coed,Congewai,-32.9587,151.2739
328,Eglinton Public School,Primary School,Coed,Eglinton ,-33.3775,149.5393
329,Elands Public School,Primary School,Coed,Elands ,-31.6194,152.2923
330,Ellalong Public School,Primary School,Coed,Ellalong,-32.9147,151.312
331,Ellerston Public School,Primary School,Coed,Ellerston,-31.8177,151.3044
332,Eltham Public School,Primary School,Coed,Eltham ,-28.7637,153.4085
333,Emmaville Central School,Central/Community School,Coed,Emmaville ,-29.4462,151.6017
334,Empire Bay Public School,Primary School,Coed,Empire Bay ,-33.5043,151.3629
335,Empire Vale Public School,Primary School,Coed,Empire Vale ,-28.9151,153.5061
336,Emu Plains Public School,Primary School,Coed,Emu Plains ,-33.7556,150.6577
337,Enfield Public School,Primary School,Coed,Enfield ,-33.8886,151.0945
338,Engadine Public School,Primary School,Coed,Engadine ,-34.0634,151.0124
339,The Entrance Public School,Primary School,Coed,The Entrance ,-33.3467,151.493
340,Epping Public School,Primary School,Coed,Epping,-33.7707,151.0879
341,Epping West Public School,Primary School,Coed,Epping ,-33.7728,151.0681
342,Erina Heights Public School,Primary School,Coed,Erina Heights ,-33.428,151.4136
343,Woodport Public School,Primary School,Coed,Erina ,-33.4393,151.3785
344,Ermington Public School,Primary School,Coed,West Ryde ,-33.8047,151.0716
345,Ettalong Public School,Primary School,Coed,Ettalong Beach ,-33.5135,151.3327
346,Euabalong West Public School,Primary School,Coed,Euabalong West ,-33.0558,146.3971
347,Euchareena Public School,Primary School,Coed,Euchareena ,-32.9372,149.0915
348,Eugowra Public School,Primary School,Coed,Eugowra ,-33.4231,148.3693
349,Eumungerie Public School,Primary School,Coed,Eumungerie ,-31.9512,148.6211
350,Eungai Public School,Primary School,Coed,Eungai Creek ,-30.8321,152.8743
351,Eureka Public School,Primary School,Coed,Eureka ,-28.6877,153.4392
352,Eurongilly Public School,Primary School,Coed,Eurongilly,-34.9102,147.781
353,Euston Public School,Primary School,Coed,Euston ,-34.5756,142.7442
354,Evans River Community School,Central/Community School,Coed,Evans Head,-29.1135,153.4247
355,Excelsior Public School,Primary School,Coed,Castle Hill ,-33.7404,150.9904
356,Exeter Public School,Primary School,Coed,Exeter ,-34.6161,150.3218
357,Fairfax Public School,Primary School,Coed,Maules Creek,-30.4934,150.1313
358,Fairfield Public School,Primary School,Coed,Fairfield ,-33.8668,150.9554
359,Fairfield West Public School,Primary School,Coed,Fairfield West ,-33.868,150.9248
360,Fairy Meadow Public School,Primary School,Coed,Fairy Meadow ,-34.3905,150.8923
361,Falls Creek Public School,Primary School,Coed,Falls Creek ,-34.9654,150.5934
362,Fassifern Public School,Primary School,Coed,Fassifern,-32.9834,151.5828
363,Fingal Head Public School,Primary School,Coed,Fingal Head ,-28.1968,153.5651
364,Five Dock Public School,Primary School,Coed,Five Dock ,-33.8669,151.1273
365,Lord Howe Island Central School,Central/Community School,Coed,Lord Howe Island ,-31.5301,159.069
366,Forbes Public School,Primary School,Coed,Forbes,-33.3879,148.0064
